Manufacturer,ASIN,Description
Amazing Bags,B09VCLZ3K4,"We(Half Moon) are sellers and manufacturers of various types of Customized Bags. Our product array comprises Backpacks, Sports Bags, Duffel Bags, Drawstring Bags, etc. These bags accomplish the customer's specifications and requirements. We provide these bags in numerous colors, designs, shapes, shades, patterns, etc. Our bags are known for lightweight, easy carrying, versatile usage, and durable nature.   This trendy backpack comes with multiple pockets and compartments and is very spacious and can accommodate all your stuff and will still be left with more space. With all features like padded handle, padded laptop compartment, internal organiser, reflector logo, bottle pockets, rain/dust cover etc, there is nothing that this backpack does not offer.   This MADE IN INDIA Product features 2 large zippered compartments, 2 water bottle /umbrella pockets, Rain cover, Padded Laptop Compartment with 360° Protection, Top padded Handle for comfort, Reflective Stickers & Brand Logo for safety while travelling at night. Its ergonomics comfortable design makes you forget the load you are carrying,   This laptop backpack comes with two spacious zippered compartments which can accommodate your notebooks and other essentials with ease. This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability.   This backpack features an Internal Organiser that is small pockets inside the front compartment for holding pens, ID cards, etc. These pockets are very useful in organizing your small day-to-day items.   This backpack includes a separate rain/dust cover which can be very handy. It keeps your valuables safe and secure from rain and dust and keeps the backpack neat and clean for a longer period of time.   Half Moon is proud to be an Indian Brand. We understand the importance of Indian manufacturing and supply chains. It is the time when we revive local industries that's why this bag is Made in India by Indians using Indian materials.   Half Moon offers high quality bags at lowest prices. We offers bags directly from factory to the customer to provide the bag at lowest prices possible."
"Texcoco Enterprises, 9958166528",B08X2T2M8G,"Registered by company that professional in design and produce laptop sleeve, case, bag, briefcase, backpack and other related bags over 16 years. We are aimed to offer customers high quality products with competitive prices under rich factory experience and exquisite craftsmanship.   External:16.9 x 13.4 x 2.3 inch / 43 x 34 x 6 cm (L x W x H);   Internal:16.3 x 12.7 x 1.9 inch / 41.5 x 32.5 x 5 cm (L x W x H);   This messenger bag comes with special stitch at bottom corners that increase the gusset / depth for front pocket and stereoscopic, shape. Internal pen / stylus holder. Separate Laptop Compartment Fits up to 15.6 Inch Laptops. It has various pockets and compartments to hold daily essentials like:   Considerate design is the back trolley suitcase belt for ease use during business trip. It is really convenient for your happy journey to anywhere.   Fits most luggage trolley models. When traveling, just put it on your suitcase to free your hands   As a Everyday backpack, Work backpack, Study bookbag, Business laptop backpack for men women adult teens or daily use at anywhere.   Suitable for a variety of occasions, perfects for weekend getaways, shopping, office work, school, college, business traveling and other outdoor activities. Bennett briefcase features or highlights:"
Wesley,B07K8KLB3P,"With a slim, sleek and compact   design you will love how this backpack can look small and compact even though   it has 2 spacious compartments to store your gadgets, books, keys and even a   water bottle!   You can take along your gadgets   with you to office, college or anywhere with this backpack, as it has got   allotted storage space that fits a laptop of up-to 15.6 inches.   Designed with great quality   materials that are waterproof, tough and durable, this backpack is like no   other as it features a lightweight design that is easy to maintain as well.   The back straps of the backpack   are padded to give the user maximum support and it made with anti-sweat   fabric, giving you the comfort throughout the day.   Featuring 2 compartments, the main   compartment and a front compartment to store smaller objects/pens/thin   notebooks etc. It also includes a laptop sleeve with a Velcro strap for   safety.   It won’t feel uneasy to carry   heavy things for a longer time with this bag as it has a cushioned back   support that distributes weight evenly between your shoulders and back.   Be it those stormy rainy season,   scorching heat, or freezing winters, this bag can endure as it is crafted,   designed and made with quality and tough materials."
Heroz,B08BYQZYYC,"Nylon, Inner Material: Polyester   50 Liters   Navy Blue & Sky Blue   These backpack by Heroz is ergonomically designed for all ages, genders and purposes. Made of PU polyester material, this bag is ideal for use as a college bag, casual backpack, laptop bag or a work bag.   The backpack undertones gives a neutral look and an advantage over excess dust collection. 3 main and an extra compartment provides ample storage space for accessories, electronics, notebooks and stationery. Also comes with bottle mesh pockets on either sides.   The padded base, back and shoulder straps provide comfort and support for carrying heavy items for a long duration.   Back Padding, Chest Strap, Earphone Cord Support, Hip Belt, Integrated Rain Cover, Laptop Compartment, Telescope Handle, Water Bottle / Umbrella Pouch, Zip Closure, Padded Handles, Shoulder Strap."
"Akshaya Rubbers, Hebbal Industrial Area, Mysore, 7022982998",B08YZ5XY31,
"Backpack International Pvt Ltd, Backpack International Pvt Ltd, Contact no +919769487901",B01LXNNFDF,"The Laptop Bag by Urban Tribe is a   well structured and ergonomically designed. It is has spacious compartments   as well as an anti-clutter mobile phone charging compartment. The bag is very   handy and provides comfort to the user. Carry it in style.   The bag has a separate mobile   phone charging compartment to give you an anti-clutter experience while you   charge your phone.   The bag has a spacious main   compartment where you can carry your belongings such as your notebooks, pens, laptop, mobile etc. It is perfect for college going students who are looking for design and functionality, all in a single bag.   The bag is made of Polyester,   making it durable and resistant to water, wear-and-tear thus making it sturdy enough to withstand heavy weight. Carry your laptop, books, mobile, wallet etc. with this bag all at once."
Red Lemon,B07XYTZP4Z,"Premium Quality , Affordable Rates   RED LEMON, a premium travel accessories brand, focusing on quality products that inspire people to explore and pursue fashion, high efficiency and unique lifestyle.   · Multi-functional Storage 3 in 1 Duffle Bag   · High Capacity with Separate Shoe Compartment   · Premium Material   • UPGRADED NIB & ULTRA-HIGH PRECISION   • PALM REJECTION - improved accuracy   • TILT FUNCTION & MAGNETIC ADSORPTION"
Samsonite,B07CJCGM1M,
Wesley,B084JGJ8PF,"With a slim, sleek and compact design you will love how this backpack can look small even with a spacious storage!   Take your gadgets with you anywhere with this backpack, it has got allotted storage space that fits a laptop of upto 15.6 inches.   Designed with great quality materials that are waterproof, tough and durable, it is also lightweight and easy to maintain.   The back straps are padded to give the user maximum support and it made with anti-sweat fabric, giving you the comfort throughout the day.   Featuring 2 compartments, the main compartment and a front compartment to store smaller objects/pens/thin notebooks etc. It also includes a laptop sleeve with a Velcro strap for safety.   It won’t feel uneasy to carry heavy things for a longer time with this bag as it has a cushioned back support that distributes weight evenly between your shoulders and back.   Be it those stormy rainy season, scorching heat, or freezing winters, this bag can endure as it is crafted, designed and made with quality and tough materials."
VIP Industries Ltd,B08Z1HHHTD,
"ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com",B09TPX22NF,"Light weight and spacious laptop backpack with 2 compartments and 1 front easy-access pocket. One compartment is for carrying laptop inside with padding for safety and space for laptop accessories like charger, etc. Other compartment has organiser for pens, visiting cards, etc along with space for carrying papers, files, etc. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort."
"SHABA BAGS, SHABA BAGS 9354115195",B0BS6QQZYN,
Korrun India Pvt. Ltd,B088XB5XY8,"It's an edgy mix of fashionable details and practical usability. This backpack is made to accompany you on any adventure   With a capacity of 12 litres, this backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more.   The multi coated, water-repellent 600D polyester fabric design keeps your belongings safe whether you're on a short excursion or bustling through a commute.   The Mi Step Out Backpack is available in 4 trendy colors. The array of vibrant colors allow you to make your pick and stand out wherever you go.   Fully equipped with a water repellent exterior, contra zippers, reflective pullers and adjustable shoulder straps, this backpack is ideal companion for a hands-free day   Weighing just 200g, this backpack is easy to carry whether you're toting it through the airport, hitting the gym, exploring a new city or using it as a carrier for your books."
"Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039. Ph-9560940507",B098QFF5TJ,Featuring multiple spacious compartments and functional pockets that are easy to access and will allow you to properly organize your backpack.   The side pockets are designed to hold small items and they are made with durable mesh that can expand to secure various sizes of water bottles and compact umbrellas.   This backpack is made with lightweight material and this water-resistant fabric makes it easier for you to carry anywhere. A perfect backpack for all your travels!   Enhanced with durable and quality zippers that will last longer and will not break easily with regular use.
AirCase,B07QN4KXWG,"Contoured padded mesh back panel and shoulder straps for Extra Comfort. It helps to get relief from stress over shoulders while carry heavy weight.   It features a dedicated space for up to 15.6” laptop and iPad/tablet with a secure velcro closure. Extra padded layer protects your laptop from major impacts.   Main compartment has plenty of space for clothes, wallet, diary, etc.   Quick-grab items like your smartphone, passport etc can be stored in this zippered pocket. So you can access it easily.   Designed to accommodate tablet, mouse, power adapter & cable,power bank, keys, passport etc.   This backpack has mesh pockets on both sides with elastic belt. Umbrella, Water bottles can be easily stored inside this pockets.   With leather pull tail, fashionable & novel, keeping up with the current trend.   Handle padded with breathable mesh which provides the needed comfort while carrying excessive weight.   Adjustable side straps for a better fit.   Protects your belongings from getting wet.   Mesh Pocket to Keep bottles.   Artificial Leather with elegant look, high end finish. Strong fabric lining inside protects from scratches."
,B0BGSV19KZ,"Premium Quality , Affordable Rates   RED LEMON, a premium travel accessories brand, focusing on quality products that inspire people to explore and pursue fashion, high efficiency and unique lifestyle.   · Multi-functional Storage 3 in 1 Duffle Bag   · High Capacity with Separate Shoe Compartment   · Premium Material   • UPGRADED NIB & ULTRA-HIGH PRECISION   • PALM REJECTION - improved accuracy   • TILT FUNCTION & MAGNETIC ADSORPTION"
Heroz,B08BYQZYYC,"Nylon, Inner Material: Polyester   50 Liters   Navy Blue & Sky Blue   These backpack by Heroz is ergonomically designed for all ages, genders and purposes. Made of PU polyester material, this bag is ideal for use as a college bag, casual backpack, laptop bag or a work bag.   The backpack undertones gives a neutral look and an advantage over excess dust collection. 3 main and an extra compartment provides ample storage space for accessories, electronics, notebooks and stationery. Also comes with bottle mesh pockets on either sides.   The padded base, back and shoulder straps provide comfort and support for carrying heavy items for a long duration.   Back Padding, Chest Strap, Earphone Cord Support, Hip Belt, Integrated Rain Cover, Laptop Compartment, Telescope Handle, Water Bottle / Umbrella Pouch, Zip Closure, Padded Handles, Shoulder Strap."
"Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059",B09B26VHXV,
"Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028",B07M9BRCQ5,"The presence of artificial leather material in this smart duffle bag makes it tough and durable. The fabric is durable and long lasting.   The textured PU Leather Fabric is water resistant in nature which means any small splashes and your items inside the bag will still be safe. However, we recommend you to be careful during heavy rain as the zips are never 100% waterproof and thus extra caution is recommended.   This stylish backpack has been crafted with a special focus on the looks as well. The visually appealing appearance of the product can fit into any occasion without much adjustment.   With a huge compartment in this bag, the user can have ample space for storage. The large compartment is suitable for 3 to 4 days weekender or business trip. It can also be used as a carry-on flight bag as well.   The traditional zipper closure remains a constant as well. This can give the user with an easy access to the contents inside during need. The smooth zipper operation adds a sense of convenience into the overall user experience.   There are two padded grab handles and a single long strap present in the bag for carrying. The user can use either of the two options as per the convenience. This flexibility is another highlight of the product."
,B084ZHP97M,"Keeping in mind the average usage by an average Indian, this casual backpack is manufactured using top grade nylon and robust hardware to ensure long life.   Grey | Black | Blue   This cross-body bag comes with an adjustable shoulder strap & a comfortable size so that you can carry all your daily essentials easily.   A light weight design & slim profile makes this bag perfect for carrying all day.   With a main central pocket along with a front and a back zipper pocket, you can carry all your essentials like phone, wallet, diary, tablet, water bottle & much more.   An ergonomically great design & premium hardware makes this cross body sling bag a perfect gift for your loved ones."
"Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059",B09B26MB5M,
Amazing Bags,B09VCLZ3K4,"We(Half Moon) are sellers and manufacturers of various types of Customized Bags. Our product array comprises Backpacks, Sports Bags, Duffel Bags, Drawstring Bags, etc. These bags accomplish the customer's specifications and requirements. We provide these bags in numerous colors, designs, shapes, shades, patterns, etc. Our bags are known for lightweight, easy carrying, versatile usage, and durable nature.   This trendy backpack comes with multiple pockets and compartments and is very spacious and can accommodate all your stuff and will still be left with more space. With all features like padded handle, padded laptop compartment, internal organiser, reflector logo, bottle pockets, rain/dust cover etc, there is nothing that this backpack does not offer.   This MADE IN INDIA Product features 2 large zippered compartments, 2 water bottle /umbrella pockets, Rain cover, Padded Laptop Compartment with 360° Protection, Top padded Handle for comfort, Reflective Stickers & Brand Logo for safety while travelling at night. Its ergonomics comfortable design makes you forget the load you are carrying,   This laptop backpack comes with two spacious zippered compartments which can accommodate your notebooks and other essentials with ease. This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability.   This backpack features an Internal Organiser that is small pockets inside the front compartment for holding pens, ID cards, etc. These pockets are very useful in organizing your small day-to-day items.   This backpack includes a separate rain/dust cover which can be very handy. It keeps your valuables safe and secure from rain and dust and keeps the backpack neat and clean for a longer period of time.   Half Moon is proud to be an Indian Brand. We understand the importance of Indian manufacturing and supply chains. It is the time when we revive local industries that's why this bag is Made in India by Indians using Indian materials.   Half Moon offers high quality bags at lowest prices. We offers bags directly from factory to the customer to provide the bag at lowest prices possible."
"ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com",B07F3X45WZ,"A sporty versatile Laptop Backpack from ADISA, made of Polyester. It has a top opening with 3 compartments for quick & easy access to essentials while the mesh padding on the back panel will feel comfortable, even on a hot day. This backpack can be carried in 2 ways as it has an additional front handle to hold it in case you’re unable to carry it on your back.   Light weight and spacious laptop backpack with 3 compartments. One compartment is for carrying laptop inside, with padding for safety, and space for laptop accessories like charger, etc. Other compartment has organiser for pens, visiting cards, etc along with space for carrying papers, files, etc. And third compartment is for your extra stuff. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort.     With comfort and functionality as priorities, lots of people now use backpacks for their everyday  this 35-litre medium sized backpack would also be ideal for those thinking of an overnight trip. Complete with all the features of a daypack but with additional padding, pockets and fixing points for all the extra equipment you’ll need for a longer trip, the ADISA backpack is designed for multi-day use.   COLOR VARIATIONS"
Wesley,B07K8KLB3P,"With a slim, sleek and compact   design you will love how this backpack can look small and compact even though   it has 2 spacious compartments to store your gadgets, books, keys and even a   water bottle!   You can take along your gadgets   with you to office, college or anywhere with this backpack, as it has got   allotted storage space that fits a laptop of up-to 15.6 inches.   Designed with great quality   materials that are waterproof, tough and durable, this backpack is like no   other as it features a lightweight design that is easy to maintain as well.   The back straps of the backpack   are padded to give the user maximum support and it made with anti-sweat   fabric, giving you the comfort throughout the day.   Featuring 2 compartments, the main   compartment and a front compartment to store smaller objects/pens/thin   notebooks etc. It also includes a laptop sleeve with a Velcro strap for   safety.   It won’t feel uneasy to carry   heavy things for a longer time with this bag as it has a cushioned back   support that distributes weight evenly between your shoulders and back.   Be it those stormy rainy season,   scorching heat, or freezing winters, this bag can endure as it is crafted,   designed and made with quality and tough materials."
"ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com",B07G3CG9FC,"Holding your bag on shoulder rather on hands convenient, to commute to your daily routine. Whether you are riding a two-wheeler, travelling by buses or catching trains to reach your destination, backpacks are the most suitable choice. Not restricted to laptops, backpacks are becoming common for colleges, schools and gyms.   ADISA Light Weight Casual Laptop Backpack is one such multi-purpose bag created with extra-large compartmentS and pockets to organize every big and small accessory. Made of lightweight polyester, it is durable, waterproof and easy to carry. It can be cleaned easily or washed manually. If you are looking for money worth and durable backpack, then try this edition.   Backpacks are an ideal option to carry laptops and luggage. To make it comfortable for daily usage, travelling in buses and catching trains, the bags are created with durable polyester fabric.   To keep your back relaxed and free of pain, it has an ergonomic back design. It also features:   To meet your day to day need, Adisa Casual Laptop Backpack is a lightweight, multi-utility bag. It is fit to use as a laptop bag and a travel bag too. You can either take it to the office, tour, or gym. It exhibits multiple functions   Tested for quality and pressure, the zipper is made of the metal locking with a compatible pulling strap keeping the laptop and other accessories safe within.   The bag features a strong padded handle, for an easy holding and comfortable grip to be used as a carry bag.   Keeping your travel and gym needs in mind, the bag is fitted with two strong mesh fabric bottle holders on each side of the bag."
"Akshaya Rubbers, Hebbal Industrial Area, Mysore, 7022982998",B08YZ5XY31,
Encon Impex Pvt Ltd,B09ZYNNB1R,"Premium Quality , Affordable Rates   RED LEMON, a premium travel accessories brand, focusing on quality products that inspire people to explore and pursue fashion, high efficiency and unique lifestyle.   · Multi-functional Storage 3 in 1 Duffle Bag   · High Capacity with Separate Shoe Compartment   · Premium Material   • UPGRADED NIB & ULTRA-HIGH PRECISION   • PALM REJECTION - improved accuracy   • TILT FUNCTION & MAGNETIC ADSORPTION"
"Backpack International Pvt Ltd, Backpack International Pvt Ltd, Contact no +919769487901",B01LXNNFDF,"The Laptop Bag by Urban Tribe is a   well structured and ergonomically designed. It is has spacious compartments   as well as an anti-clutter mobile phone charging compartment. The bag is very   handy and provides comfort to the user. Carry it in style.   The bag has a separate mobile   phone charging compartment to give you an anti-clutter experience while you   charge your phone.   The bag has a spacious main   compartment where you can carry your belongings such as your notebooks, pens, laptop, mobile etc. It is perfect for college going students who are looking for design and functionality, all in a single bag.   The bag is made of Polyester,   making it durable and resistant to water, wear-and-tear thus making it sturdy enough to withstand heavy weight. Carry your laptop, books, mobile, wallet etc. with this bag all at once."
"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India",B0BR179L65,
Samsonite,B07CJCGM1M,
Wesley,B084JGJ8PF,"With a slim, sleek and compact design you will love how this backpack can look small even with a spacious storage!   Take your gadgets with you anywhere with this backpack, it has got allotted storage space that fits a laptop of upto 15.6 inches.   Designed with great quality materials that are waterproof, tough and durable, it is also lightweight and easy to maintain.   The back straps are padded to give the user maximum support and it made with anti-sweat fabric, giving you the comfort throughout the day.   Featuring 2 compartments, the main compartment and a front compartment to store smaller objects/pens/thin notebooks etc. It also includes a laptop sleeve with a Velcro strap for safety.   It won’t feel uneasy to carry heavy things for a longer time with this bag as it has a cushioned back support that distributes weight evenly between your shoulders and back.   Be it those stormy rainy season, scorching heat, or freezing winters, this bag can endure as it is crafted, designed and made with quality and tough materials."
VIP Industries Ltd,B08Z1HHHTD,
"ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com",B09TPX22NF,"Light weight and spacious laptop backpack with 2 compartments and 1 front easy-access pocket. One compartment is for carrying laptop inside with padding for safety and space for laptop accessories like charger, etc. Other compartment has organiser for pens, visiting cards, etc along with space for carrying papers, files, etc. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort."
"SHABA BAGS, SHABA BAGS 9354115195",B0BS6QQZYN,
Korrun India Pvt. Ltd,B088XB5XY8,"It's an edgy mix of fashionable details and practical usability. This backpack is made to accompany you on any adventure   With a capacity of 12 litres, this backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more.   The multi coated, water-repellent 600D polyester fabric design keeps your belongings safe whether you're on a short excursion or bustling through a commute.   The Mi Step Out Backpack is available in 4 trendy colors. The array of vibrant colors allow you to make your pick and stand out wherever you go.   Fully equipped with a water repellent exterior, contra zippers, reflective pullers and adjustable shoulder straps, this backpack is ideal companion for a hands-free day   Weighing just 200g, this backpack is easy to carry whether you're toting it through the airport, hitting the gym, exploring a new city or using it as a carrier for your books."
"Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039. Ph-9560940507",B098QFF5TJ,Featuring multiple spacious compartments and functional pockets that are easy to access and will allow you to properly organize your backpack.   The side pockets are designed to hold small items and they are made with durable mesh that can expand to secure various sizes of water bottles and compact umbrellas.   This backpack is made with lightweight material and this water-resistant fabric makes it easier for you to carry anywhere. A perfect backpack for all your travels!   Enhanced with durable and quality zippers that will last longer and will not break easily with regular use.
AirCase,B07QN4KXWG,"Contoured padded mesh back panel and shoulder straps for Extra Comfort. It helps to get relief from stress over shoulders while carry heavy weight.   It features a dedicated space for up to 15.6” laptop and iPad/tablet with a secure velcro closure. Extra padded layer protects your laptop from major impacts.   Main compartment has plenty of space for clothes, wallet, diary, etc.   Quick-grab items like your smartphone, passport etc can be stored in this zippered pocket. So you can access it easily.   Designed to accommodate tablet, mouse, power adapter & cable,power bank, keys, passport etc.   This backpack has mesh pockets on both sides with elastic belt. Umbrella, Water bottles can be easily stored inside this pockets.   With leather pull tail, fashionable & novel, keeping up with the current trend.   Handle padded with breathable mesh which provides the needed comfort while carrying excessive weight.   Adjustable side straps for a better fit.   Protects your belongings from getting wet.   Mesh Pocket to Keep bottles.   Artificial Leather with elegant look, high end finish. Strong fabric lining inside protects from scratches."
,B0BGSV19KZ,"Premium Quality , Affordable Rates   RED LEMON, a premium travel accessories brand, focusing on quality products that inspire people to explore and pursue fashion, high efficiency and unique lifestyle.   · Multi-functional Storage 3 in 1 Duffle Bag   · High Capacity with Separate Shoe Compartment   · Premium Material   • UPGRADED NIB & ULTRA-HIGH PRECISION   • PALM REJECTION - improved accuracy   • TILT FUNCTION & MAGNETIC ADSORPTION"
Red Lemon,B07XYTZP4Z,"Premium Quality , Affordable Rates   RED LEMON, a premium travel accessories brand, focusing on quality products that inspire people to explore and pursue fashion, high efficiency and unique lifestyle.   · Multi-functional Storage 3 in 1 Duffle Bag   · High Capacity with Separate Shoe Compartment   · Premium Material   • UPGRADED NIB & ULTRA-HIGH PRECISION   • PALM REJECTION - improved accuracy   • TILT FUNCTION & MAGNETIC ADSORPTION"
"Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059",B09B26VHXV,
"Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028",B07M9BRCQ5,"The presence of artificial leather material in this smart duffle bag makes it tough and durable. The fabric is durable and long lasting.   The textured PU Leather Fabric is water resistant in nature which means any small splashes and your items inside the bag will still be safe. However, we recommend you to be careful during heavy rain as the zips are never 100% waterproof and thus extra caution is recommended.   This stylish backpack has been crafted with a special focus on the looks as well. The visually appealing appearance of the product can fit into any occasion without much adjustment.   With a huge compartment in this bag, the user can have ample space for storage. The large compartment is suitable for 3 to 4 days weekender or business trip. It can also be used as a carry-on flight bag as well.   The traditional zipper closure remains a constant as well. This can give the user with an easy access to the contents inside during need. The smooth zipper operation adds a sense of convenience into the overall user experience.   There are two padded grab handles and a single long strap present in the bag for carrying. The user can use either of the two options as per the convenience. This flexibility is another highlight of the product."
,B084ZHP97M,"Keeping in mind the average usage by an average Indian, this casual backpack is manufactured using top grade nylon and robust hardware to ensure long life.   Grey | Black | Blue   This cross-body bag comes with an adjustable shoulder strap & a comfortable size so that you can carry all your daily essentials easily.   A light weight design & slim profile makes this bag perfect for carrying all day.   With a main central pocket along with a front and a back zipper pocket, you can carry all your essentials like phone, wallet, diary, tablet, water bottle & much more.   An ergonomically great design & premium hardware makes this cross body sling bag a perfect gift for your loved ones."
"Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059",B09B26MB5M,
Amazing Bags,B09VCLZ3K4,"We(Half Moon) are sellers and manufacturers of various types of Customized Bags. Our product array comprises Backpacks, Sports Bags, Duffel Bags, Drawstring Bags, etc. These bags accomplish the customer's specifications and requirements. We provide these bags in numerous colors, designs, shapes, shades, patterns, etc. Our bags are known for lightweight, easy carrying, versatile usage, and durable nature.   This trendy backpack comes with multiple pockets and compartments and is very spacious and can accommodate all your stuff and will still be left with more space. With all features like padded handle, padded laptop compartment, internal organiser, reflector logo, bottle pockets, rain/dust cover etc, there is nothing that this backpack does not offer.   This MADE IN INDIA Product features 2 large zippered compartments, 2 water bottle /umbrella pockets, Rain cover, Padded Laptop Compartment with 360° Protection, Top padded Handle for comfort, Reflective Stickers & Brand Logo for safety while travelling at night. Its ergonomics comfortable design makes you forget the load you are carrying,   This laptop backpack comes with two spacious zippered compartments which can accommodate your notebooks and other essentials with ease. This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability.   This backpack features an Internal Organiser that is small pockets inside the front compartment for holding pens, ID cards, etc. These pockets are very useful in organizing your small day-to-day items.   This backpack includes a separate rain/dust cover which can be very handy. It keeps your valuables safe and secure from rain and dust and keeps the backpack neat and clean for a longer period of time.   Half Moon is proud to be an Indian Brand. We understand the importance of Indian manufacturing and supply chains. It is the time when we revive local industries that's why this bag is Made in India by Indians using Indian materials.   Half Moon offers high quality bags at lowest prices. We offers bags directly from factory to the customer to provide the bag at lowest prices possible."
"ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com",B07F3X45WZ,"A sporty versatile Laptop Backpack from ADISA, made of Polyester. It has a top opening with 3 compartments for quick & easy access to essentials while the mesh padding on the back panel will feel comfortable, even on a hot day. This backpack can be carried in 2 ways as it has an additional front handle to hold it in case you’re unable to carry it on your back.   Light weight and spacious laptop backpack with 3 compartments. One compartment is for carrying laptop inside, with padding for safety, and space for laptop accessories like charger, etc. Other compartment has organiser for pens, visiting cards, etc along with space for carrying papers, files, etc. And third compartment is for your extra stuff. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort.     With comfort and functionality as priorities, lots of people now use backpacks for their everyday  this 35-litre medium sized backpack would also be ideal for those thinking of an overnight trip. Complete with all the features of a daypack but with additional padding, pockets and fixing points for all the extra equipment you’ll need for a longer trip, the ADISA backpack is designed for multi-day use.   COLOR VARIATIONS"
Wesley,B07K8KLB3P,"With a slim, sleek and compact   design you will love how this backpack can look small and compact even though   it has 2 spacious compartments to store your gadgets, books, keys and even a   water bottle!   You can take along your gadgets   with you to office, college or anywhere with this backpack, as it has got   allotted storage space that fits a laptop of up-to 15.6 inches.   Designed with great quality   materials that are waterproof, tough and durable, this backpack is like no   other as it features a lightweight design that is easy to maintain as well.   The back straps of the backpack   are padded to give the user maximum support and it made with anti-sweat   fabric, giving you the comfort throughout the day.   Featuring 2 compartments, the main   compartment and a front compartment to store smaller objects/pens/thin   notebooks etc. It also includes a laptop sleeve with a Velcro strap for   safety.   It won’t feel uneasy to carry   heavy things for a longer time with this bag as it has a cushioned back   support that distributes weight evenly between your shoulders and back.   Be it those stormy rainy season,   scorching heat, or freezing winters, this bag can endure as it is crafted,   designed and made with quality and tough materials."
"ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com",B07G3CG9FC,"Holding your bag on shoulder rather on hands convenient, to commute to your daily routine. Whether you are riding a two-wheeler, travelling by buses or catching trains to reach your destination, backpacks are the most suitable choice. Not restricted to laptops, backpacks are becoming common for colleges, schools and gyms.   ADISA Light Weight Casual Laptop Backpack is one such multi-purpose bag created with extra-large compartmentS and pockets to organize every big and small accessory. Made of lightweight polyester, it is durable, waterproof and easy to carry. It can be cleaned easily or washed manually. If you are looking for money worth and durable backpack, then try this edition.   Backpacks are an ideal option to carry laptops and luggage. To make it comfortable for daily usage, travelling in buses and catching trains, the bags are created with durable polyester fabric.   To keep your back relaxed and free of pain, it has an ergonomic back design. It also features:   To meet your day to day need, Adisa Casual Laptop Backpack is a lightweight, multi-utility bag. It is fit to use as a laptop bag and a travel bag too. You can either take it to the office, tour, or gym. It exhibits multiple functions   Tested for quality and pressure, the zipper is made of the metal locking with a compatible pulling strap keeping the laptop and other accessories safe within.   The bag features a strong padded handle, for an easy holding and comfortable grip to be used as a carry bag.   Keeping your travel and gym needs in mind, the bag is fitted with two strong mesh fabric bottle holders on each side of the bag."
Flab internatioanl private limited,B09W4WRV5Q,
